Sample,LFQ_Int_CP35491,LFQ_Int_CP10882,LFQ_Int_CN06567,LFQ_Int_CP16894,LFQ_Int_CP22324,LFQ_Int_CH10571,LFQ_Int_CN30310,LFQ_Int_CP19452,LFQ_Int_CM5736,LFQ_Int_CN14704,LFQ_Int_CN39836,LFQ_Int_CP28844,LFQ_Int_CP34310,LFQ_Int_CP34241,LFQ_Int_CP34736,LFQ_Int_CP21176,LFQ_Int_CP24232,LFQ_Int_CN29552,LFQ_Int_CN36290,LFQ_Int_CP23023,LFQ_Int_CN35769
Label,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade
Q9UMX0,19099167,229630000,70726000,44421000,27262000,24486000,11204000,12921000,10508000,21321133,27126000,19451567,993970,22508450,6347312,71517000,13992000,113480000,38410000,27022000,34812000
Q9Y4E8,4751700,23575000,13466000,20464000,46787000,8431500,23718000,5050700,16721000,11189386,12343000,3734700,8287400,6488250,4510800,14050000,6772400,8410400,24753000,9424500,8576100
Q9Y4I1,31165856,437960000,123730000,63276000,125890000,8984200,2565900,2026000,9227757,63744000,202318300,11477000,3150918,33465320,22054143,392580000,21142000,604370000,95071000,66611000,41131000
Q9Y570,18716000,8864900,19843000,11335000,16340000,31604000,6726629,4162100,103340000,11839020,25682000,15748000,31398838,14555000,2471600,30981000,10929000,38324570,18305000,7055900,10209000
Q9Y5J7,16646000,140270000,33496000,51789000,33494000,83106000,23578000,4308600,25685448,4524000,68096000,7937320,9597650,24748500,13389338,249060000,25616000,85980400,20264000,24457000,33790000
Q9Y5L4,15577000,55343400,57811000,43361000,22192811,27262000,17982000,7353200,18853764,12106000,96812000,9698400,1396500,9795500,9314500,64098100,59595000,135050000,22613000,27175000,27053000
Q9Y5S2,4651100,146800000,53982000,88533000,12850000,4420500,9042500,7376100,5053928,30884130,30959000,5179100,516915,19013244,8628729,208480000,34057000,194980000,27513000,20577000,99771000
Q9Y6G9,15786333,84646000,46248000,27123000,32511000,8249900,20430000,5275900,12036900,13521000,11540000,5504150,8971100,12475350,16703580,56636000,8462800,89432000,46272000,45610000,45202000
Q9Y6M1,24453922,348100000,10742000,13085000,55754200,1933700,30177820,10846000,20683471,6703300,96247000,3819268,431090,966680,6741100,411670000,6320600,24916000,7187200,54927100,4604000
A6NDG6,9542000,7350200,23164000,21409000,9815900,2832100,3885500,1710800,3614200,13466938,81576000,3256550,6533500,86198762,6765600,39765000,3939000,10713000,13493583,12182200,18067000
O00182,7798560,38085000,50810000,56219000,280010000,14565000,22650000,60962000,61326000,48649000,63557000,9268700,31398838,9962800,14739575,66906000,27546000,80111000,43459571,39819417,101540000
O00330,17217000,85663000,20271000,26424000,6543100,9480900,1175800,4578000,72792000,10065067,13454000,5768233,1755500,8817475,9199700,49479000,18025422,18447000,15696000,18065000,11717000
O14786,769524567,42839000,9923900,4316300,21433000,30643714,4251300,15088000,20749000,12539233,20989000,9475600,3235250,7842300,4615800,36664000,14439000,59865000,12901000,7967300,18615000
O15294,25612750,21142000,8308100,13897000,15324000,6805300,23220000,7595200,298093420,10642000,19368000,47957994,31398838,11765750,8646922,37968875,10586000,54233000,6281800,26803000,14523000
O15305,3000400,27180000,17324020,14215000,16518000,80452000,11865000,5563400,45037000,19412000,16726530,9861600,3304700,7354400,11360300,33097000,5731500,45110878,8607500,8621100,22214000
O15372,22103000,26282000,16507000,27115000,11704000,97615000,67689000,12563583,6978433,12823825,34458000,47957994,198320000,9006200,20038000,32044000,19586000,38620000,20262000,23027000,13968712
O15438,69827444,324930600,448990000,377080000,99682111,48981000,49555000,60590000,18918000,51711000,440100000,13617750,19733720,50246430,108094040,180390000,15517000,278070000,480880000,231050000,30252000
O43181,23677000,268290000,56495890,37281900,4023800,30304000,12706000,4658600,10578900,6266400,45962160,4668600,373040,13347000,6662600,113490000,5030900,64480000,7852500,20370210,2760400
O43324,6772300,37964000,12611000,9005700,13749000,42324000,15099710,13515300,53874000,11891400,14983000,5524200,2420150,14223000,3878900,82861000,11303000,61119000,25856000,14187000,17228000
O43414,16009422,86340000,80456000,26984000,19526000,72295000,15648000,19176000,24858533,35864780,59628000,4858700,31398838,32116162,9816450,357810000,28272000,207610000,41739000,40887000,128300000
O43583,25214638,302000000,122760000,71290000,89599000,42401000,35356000,117390000,23227722,49667000,265390000,7267937,2000511,28533478,21037188,343390000,21016000,163590000,89359000,93363000,233470000
O43617,8804580,72241150,30949000,27394000,14158000,18873000,15948000,14065000,4439700,8634400,62472000,2247000,31398838,18112500,7809650,69497000,8164900,46903000,17805000,9876600,20364578
O43760,6679200,13878000,10821000,14612000,17699000,27653000,11833000,11957312,298093420,7518000,49402000,3734700,7430267,86198762,7729450,30738000,12355233,16971000,18615000,20162000,9438400
O43768,28472375,272410000,271390000,280300000,33779000,41236000,15369000,11961000,39784022,30764000,155710000,7465478,3147750,26419938,36634750,261860000,89785600,99312000,289220000,74558000,423580000
O60216,6161100,85951000,31761000,21494000,3221500,2705500,5615500,10887875,26703850,8261700,5630700,955500,1228700,1969900,1603665,102590000,17649456,29061000,10942000,23424000,15544000
O60762,16495575,60850000,108320000,52091000,33055000,10349000,35650000,18832000,29460978,17652350,39206000,5318250,31398838,18085867,22739688,139210000,19591000,38330000,79339000,67530000,99070000
O75155,25271000,7312000,31094000,2025000,2045500,436780,732180,1856100,54718500,1938500,13870000,955500,1755500,1340900,90064923,62789000,8577900,2606400,14652111,11050000,35231000
O75323,33550790,130930000,65613000,105340000,20185000,159080000,97024000,25856000,13369343,37494389,104420000,2588400,1599985,27409000,18605689,173100000,22254000,67660000,58669360,66709000,71633111
